iter	Passed	Remaining
528	663	590
529	664	589
530	665	588
531	666	586
532	667	585
533	668	583
534	669	582
535	670	580
536	671	579
537	672	577
538	673	576
539	675	575
540	675	573
541	677	572
542	678	570
543	679	569
544	680	567
545	682	567
546	684	566
547	686	565
548	687	565
549	689	564
550	691	563
551	692	562
552	694	561
553	696	560
554	697	559
555	699	558
556	701	557
557	702	556
558	704	555
559	706	555
560	708	554
561	709	553
562	711	552
563	713	551
564	715	551
565	717	550
566	719	549
567	720	548
568	722	547
569	724	546
570	726	545
571	727	544
572	729	543
573	731	542
574	733	542
575	735	541
576	736	540
577	738	539
578	740	538
579	742	537
580	744	536
581	745	535
582	747	534
583	749	533
584	751	532
585	752	531
586	754	530
587	756	529
588	757	528
589	759	527
590	761	526
591	763	525
592	764	524
593	766	523
594	768	522
595	769	521
596	771	520
597	773	520
598	775	519
599	777	518
600	779	517
601	780	516
602	782	515
603	783	514
604	785	512
605	787	511
606	789	510
607	790	509
608	792	508
609	794	507
610	795	506
611	797	505
612	799	504
613	801	503
614	802	502
615	805	502
616	807	501
617	808	499
618	810	498
619	812	497
620	814	496
621	815	495
622	817	494
623	819	493
624	821	492
625	822	491
626	823	489
627	824	488
628	825	486
629	826	485
630	827	484
631	829	482
632	830	481
633	831	479
634	832	478
635	833	477
636	834	475
637	836	474
638	837	473
639	838	471
640	840	470
641	841	469
642	843	468
643	844	466
644	845	465
645	846	463
646	847	462
647	848	461
648	850	459
649	851	458
650	852	456
651	853	455
652	854	454
653	855	452
654	856	451
655	857	449
656	859	448
657	860	447
658	861	445
659	862	444
660	863	442
661	864	441
662	865	440
663	866	438
664	867	437
665	868	435
666	869	434
667	871	432
668	872	431
669	873	430
670	874	428
671	875	427
672	876	425
673	877	424
674	878	423
675	879	421
676	880	420
677	882	418
678	883	417
679	884	416
680	885	414
681	887	413
682	888	412
683	889	410
684	890	409
685	891	408
686	893	407
687	894	405
688	895	404
689	897	403
690	898	401
691	899	400
692	900	399
693	901	397
694	903	396
695	905	395
696	906	394
697	907	392
698	909	391
699	910	390
700	911	388
701	912	387
702	914	386
703	915	384
704	916	383
705	917	382
706	919	380
707	920	379
708	921	378
709	923	377
710	924	375
711	925	374
712	927	373
713	928	371
714	929	370
715	931	369
716	934	368
717	935	367
718	937	366
719	938	365
720	939	363
721	941	362
722	942	361
723	943	359
724	945	358
725	946	357
726	947	355
727	948	354
728	950	353
729	951	351
730	952	350
731	954	349
732	955	348
733	957	346
734	958	345
735	960	344
736	962	343
737	963	342
738	964	340
739	966	339
740	967	338
741	968	336
742	970	335
743	972	334
744	973	333
745	974	331
746	975	330
747	977	329
748	978	327
749	980	326
750	981	325
751	982	324
752	984	322
753	985	321
754	986	320
755	987	318
756	989	317
757	990	316
758	991	314
759	993	313
760	994	312
761	995	310
762	996	309
763	998	308
764	999	307
765	1000	305
766	1001	304
767	1002	302
768	1004	301
769	1005	300
770	1006	298
771	1007	297
772	1008	296
773	1010	294
774	1011	293
775	1012	292
776	1013	290
777	1014	289
778	1016	288
779	1017	287
780	1019	285
781	1020	284
782	1021	283
783	1022	281
784	1024	280
785	1025	279
786	1026	277
787	1027	276
788	1028	275
789	1029	273
790	1031	272
791	1032	271
792	1033	269
793	1034	268
794	1035	267
795	1037	265
796	1038	264
797	1039	263
798	1040	261
799	1042	260
800	1043	259
801	1044	257
802	1045	256
803	1046	255
804	1048	253
805	1049	252
806	1050	251
807	1051	249
808	1053	248
809	1054	247
810	1055	245
811	1056	244
812	1057	243
813	1058	241
814	1060	240
815	1061	239
816	1062	237
817	1063	236
818	1064	235
819	1065	233
820	1067	232
821	1068	231
822	1069	230
823	1070	228
824	1072	227
825	1073	226
826	1074	224
827	1075	223
828	1077	222
829	1078	220
830	1079	219
831	1080	218
832	1081	216
833	1083	215
834	1084	214
835	1086	213
836	1087	211
837	1088	210
838	1090	209
839	1091	207
840	1092	206
841	1094	205
842	1095	203
843	1096	202
844	1098	201
845	1099	200
846	1100	198
847	1102	197
848	1103	196
849	1104	194
850	1105	193
851	1107	192
852	1108	191
853	1109	189
854	1110	188
855	1112	187
856	1113	185
857	1114	184
858	1115	183
859	1116	181
860	1118	180
861	1119	179
862	1120	177
863	1121	176
864	1123	175
865	1124	173
866	1125	172
867	1126	171
868	1127	169
869	1128	168
870	1130	167
871	1131	166
872	1132	164
873	1133	163
874	1134	162
875	1136	160
876	1137	159
877	1138	158
878	1139	156
879	1140	155
880	1142	154
881	1143	152
882	1144	151
883	1146	150
884	1147	149
885	1148	147
